Bani,human biblical figure
Bani,human biblical figure
Bani,human biblical figure
Bani,human biblical figure
Bani,human biblical figure
Bani,human biblical figure
Bani,human biblical figure
Barabbas,human biblical figure
Barachel,human biblical figure
Barachiel,angel in Judaism
Barachiel,angels in Christianity
Barachiel,archangel
Barak,human biblical figure
Baraka,human biblical figure
Barakiel,human biblical figure
Baraqiel,fallen angel
Barbara Komnena,legendary figure
Barbarika,character in the Mahabharata
Bariah,human biblical figure
Barkos,human biblical figure
Barraiya,God
Bartholomew the Apostle,human biblical figure
Bartimaeus,human biblical figure
Baruch,human biblical figure
Baruch,human biblical figure
Baruch,human biblical figure
Baruch ben Neriah,human biblical figure
Barzilai the Giladi,human biblical figure
Barzillai,biblical character
Barzillai,human biblical figure
Barzillai,human biblical figure
Basemath,human biblical figure
Basemath,human biblical figure
Bat Choua,human biblical figure
Batariel,fallen angel
Bathsheba,human biblical figure
Bavvai,human biblical figure
Bazluth,human biblical figure
Bʼalam Agab,protoplast
Bealiah,human biblical figure
Beast of Gévaudan,legendary figure
Beast of the Earth,eschatological figure
Bebai,human biblical figure
Bebai,human biblical figure
Beburos,angels in Christianity
Becher,human biblical figure
Becorath,human biblical figure
Bedad,human biblical figure
Bedivere,legendary human figure
Beera,human biblical figure
Beerah,human biblical figure
Beeri,human biblical figure
Beeri,human biblical figure
Bega,legendary figure
Behemoth,biblical character
Beker,human biblical figure
Bela,human biblical figure
Bela,human biblical figure
Bela ben Beor,human biblical figure
Beli Mawr,legendary figure
Bella Hartley,merfolk in a work of fiction
Belshazzar,human biblical figure
Ben,human biblical figure
Ben-abinadab,human biblical figure
Ben-Ammi,human biblical figure
Ben-Deker,human biblical figure
Ben-Geber,human biblical figure
Ben-Hadad I,human biblical figure
Ben-hail,human biblical figure
Ben-hanan,human biblical figure
Ben-Hesed,human biblical figure
Ben-Hur,human biblical figure
Ben-zoheth,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Benaiah,human biblical figure
Beninu,human biblical figure
Benjamin,human biblical figure
Benjamin,human biblical figure
Benjamin,human biblical figure
Benjamin,human biblical figure
Benjamin,human biblical figure
Beno,human biblical figure
Beor,human biblical figure
Beor,human biblical figure
Beowulf,legendary figure
Bera,human biblical figure
Beracah,human biblical figure
Beraiah,human biblical figure
Berechiah,biblical character
Berechiah,human biblical figure
Berechiah,human biblical figure
Berechiah,human biblical figure
Berechiah,human biblical figure
Berechiah,human biblical figure
Bered,human biblical figure
Beriah,human biblical figure
Bernardo del Carpio,legendary hero
Bernat,mythological king
Bernat,legendary figure
Bethuel,human biblical figure
Bevis of Hampton,legendary figure
Bezalel,human biblical figure
Bezaliel,fallen angel
Bhīma,legendary figure
Bhūriśravas,character in the Mahabharata
Bhadra,Ashtabharya
Bhagadatta,character in the Mahabharata
Bhaiṣajyaguru Buddha,Buddha
Bharata,Characters in the Ramayana
Bhimadewa,character in the Mahabharata
Bhrigu,Rishi
Biblical Magi,legendary figure
Bichri,human biblical figure
Bidkar,human biblical figure
Big Joe Mufferaw,legendary hero
Bigta,human biblical figure
Bigthan,human biblical figure
Bildad,human biblical figure
Bilhah,human biblical figure
Bilhan,human biblical figure
Bilqis,Quranic character
Birsha,human biblical figure
Birushana Buddha,Buddha
Bishop of Hereford,legendary figure
Bithiah,human biblical figure
Björn at Haugi,mythological king
Björn Eriksson,mythological king
Björn Ironside,mythological king
Black Knight,legendary figure
Bladud,legendary figure
Blaise,legendary figure
Blanche de Beaumont,legendary figure
Blastus,human biblical figure
Bledudo,legendary figure
bleeding woman,human biblical figure
Bloody Mary,legendary figure
Bluebeard,legendary figure
Boaz,human biblical figure
Bodb Derg,legendary figure
Bohan,human biblical figure
Bos de Bénac,legendary figure
Bouki,legendary figure
Bova Korolevich,bogatyr
boy possessed by a demon,human biblical figure
Brahma Sahampati,legendary figure
Bres,mythological king
Breth mac Buthut,legendary figure
Brigo,legendary figure
Brihadratha,character in the Mahabharata
Brihadratha Ikshvaku,legendary figure
Brihannala,character in the Mahabharata
Brother of Jared,Book of Mormon character
Bruteno,legendary figure
Brutus,legendary figure
Brutus of Troy,legendary king of Britain
Buðli,legendary figure
Bukki,human biblical figure
Bunah,human biblical figure
Buscalus,legendary figure
Buz,human biblical figure
Buzi,religious character
Buzi,human biblical figure
Cadmus,legendary founder
Cain,human biblical figure
Cain's wife,human biblical figure
Cainan,human biblical figure
Caleb,human biblical figure
Caleb,human biblical figure
Calogrenant,legendary figure
Camael,angel in Judaism
Camael,angels in Christianity
Cambra,legendary figure
Camie,merfolk in a work of fiction
Camilla,legendary figure
Canaan,human biblical figure
Candace of Meroë,mythological king
Cangjie,legendary figure
Cú Chulainn,legendary hero
Cú Roí,mythological king
Cú Roí,legendary figure
Caphtorim,human biblical figure
Captain Moroni,Nephites
Captain Moroni,Book of Mormon character
Caradocus,legendary figure
Caranus of Macedon,legendary human figure
Carcas,human biblical figure
Carmi,human biblical figure
Carshena,human biblical figure
Cartandis,legendary figure
Carucitra,character in the Mahabharata
Casluhim,human biblical figure
Caspar,human biblical figure
Cassiel,angel in Judaism
Catellus,legendary figure
Ceasg,mermaid
Ceife (maí),legendary figure
Celidonius,human biblical figure
Chūjō-hime,legendary figure
Chandikeshvara,legendary figure
Chandraketu,Characters in the Ramayana
Chandraprabha,God
Chandraprabha,Tirthankara
Chandravarma Kamboja,character in the Mahabharata
Chang'e,xiannü
Chantong,mythological king
Chao Tai Pung,legendary figure
Chłop Rybka,legendary figure
Charles Rich,legendary figure
Charlotte Watsford,merfolk in a work of fiction
Chau-Khun-Kum,legendary figure
Chau-Khun-ming,legendary figure
Chau-Lu-Chu,legendary figure
Chau-Lu-lu,legendary figure
Chau-Nga-Chu,legendary figure
Chau-Sang-mwun,legendary figure
Chau-Sang-yaw,legendary figure
Chau-Shen-Nga,legendary figure
Chau-Tai-pha,legendary figure
Chau-Tai-pha,legendary figure
Chau-Tai-Pum,legendary figure
Chazaqiel,fallen angel
Chedorlaomer,human biblical figure
Chelubey,legendary human figure
Chemish,Book of Mormon character
Chenaanah,human biblical figure
Chenani,human biblical figure
Chenfang,mythological king
Chengjiu,mythological king
Cheran,human biblical figure
Cherin,legendary figure
Chernava,mermaid
Chesed,human biblical figure
Chica Pelega,legendary figure
Chijiang,legendary figure
Child Saint John,human biblical figure
Chileab,human biblical figure
Chilion,human biblical figure
Chimeng Xiangu,immortal
Chislon,human biblical figure
Chisongzi,immortal
Chitrangada,character in the Mahabharata
Chitrasena,character in the Mahabharata
Chiyou,legendary figure
Chloë,human biblical figure
Christ Child,human biblical figure
Chubak,bogatyr
Churilo Plenkovich,bogatyr
Churilo Plenkovich,legendary figure
Chuza,human biblical figure
Chyavana,Rishi
Cigfa,legendary figure
Cilydd,legendary figure
Citrangga,character in the Mahabharata
Clarenza,legendary figure
Claudia,biblical character
Clement (Philippians 4:3),biblical character
Cleo Sertori,merfolk in a work of fiction
Cleopas,human biblical figure
Clopas,human biblical figure
Coel Hen,legendary figure
Coenus,legendary human figure
Colonel Plug,legendary figure
Comte Arnau,legendary figure
Conaire Mór,legendary figure
Conall Cernach,legendary hero
Conaniah,human biblical figure
Conchobar mac Nessa,mythological king
Condwiramurs,legendary figure
Coqsseʻleelʻee,legendary figure
Corcoaia,legendary figure
Cordelia of Britain,legendary figure
Corianton,Book of Mormon character
Coriantumr,Book of Mormon ruler
Coriantumr,Book of Mormon character
Cornelius the Centurion,human biblical figure
Corson,fallen angel
Cosam,human biblical figure
Cozbi,human biblical figure
Creirwy,legendary figure
Crispus of Chalcedon,human biblical figure
Ctimenus,legendary figure
Ctirad,legendary figure
Culhwch,legendary figure
Cunda,legendary figure
Cush,human biblical figure
Cush,human biblical figure
Cushi,human biblical figure
Cutiale,legendary figure
Cynhafal fab Argad,legendary figure
Cyrus the Great in the Bible,human biblical figure
Dīpankara Buddha,Buddha
Dadhichi,religious character
Dag the Wise,mythological king
Dagon,God
Dagonet,legendary human figure
Dalaiah,human biblical figure
Dam Din,legendary figure
Dama Blanca d'Auvinyà,legendary figure
Damaris,human biblical figure
Damocles,legendary figure
Damon of Athens,legendary figure
Damu,God
Dan,human biblical figure
Dan II of Denmark,legendary figure
Dan of Zhou,legendary figure
Danao,legendary figure
Dancus,legendary figure
Dangun,mythological king
Dangun,legendary founder
Daniel,angels in Christianity
Daniel,fallen angel
Daniel,human biblical figure
Daniel,human biblical figure
Danius,mythological king
Dantavakra,character in the Mahabharata
Dante's Satan,fallen angel
Daode Tianzun,immortal
Daoji,legendary figure
Dapifero di Montcada,legendary figure
Daragang Magayon,legendary figure
Darda,human biblical figure
Darius the Great in the Bible,human biblical figure
Darius the Mede,human biblical figure
Dasharatha,Characters in the Ramayana
Dathan,human biblical figure
Dating,mythological king
Daughter of Jephthah,human biblical figure
daughter of Putiel,human biblical figure
Daunus,mythological king
David,human biblical figure
David in Islam,Qu'ranic prophet
Debir,human biblical figure
Deborah,human biblical figure
Deborah,human biblical figure
Dedan,human biblical figure
Dedan,human biblical figure
Deirdre,legendary figure
Deker,human biblical figure
Delaiah,human biblical figure
Delilah,human biblical figure
Demas,human biblical figure
Demetrius,human biblical figure
Den,merfolk in a work of fiction
Deocliunon,legendary human figure
Derfel,legendary figure
Deu-la-Deu Martins,legendary figure
Deuel,human biblical figure
Devapi,character in the Mahabharata
Devayānī,character in the Mahabharata
devil,biblical character
Devil (Lumeçon),legendary figure
Devil in Christianity,biblical character
Dhṛṣṭadyumna,character in the Mahabharata
Dhanumati,character in the Mahabharata
Dhanumati,character in the Mahabharata
Dharmabhrit,Characters in the Ramayana
Dharmanātha,God
Dharmanātha,Tirthankara
Dharmathakur,God
Dhu Shanatir,legendary figure
Dhu'l-Qarnayn,Quranic character
Di Penates,God
Diablo Cojuelo,legendary figure
Diamond Realm Vairocana,Buddha
Diblaim,human biblical figure
Dibri,human biblical figure
Diego Laínez,legendary figure
Dikla,human biblical figure
Dikr,God in Abrahamic religions
Dilīpa,Characters in the Ramayana
Dina,legendary figure
Dinah,human biblical figure
Dinah,human biblical figure
Diotrephes,human biblical figure
Disa,legendary figure
disciple whom Jesus loved,human biblical figure
Dishan,human biblical figure
Dishon,human biblical figure
Dishon,human biblical figure
Dives,human biblical figure
Dobiel,angel in Judaism
Dobrynya Nikitich,bogatyr
Dodo,human biblical figure
Doeg the Edomite,human biblical figure
Dolphin,Atlanteans
Domalde,mythological king
Don Francisco de Tolède,legendary figure
Don Pedro Garcias,legendary figure
Donghu,mythological king
Dorcas,human biblical figure
Dorma,Homo mermanus
Dornadilla,mythological king
Dorus,legendary progenitor
dove released by Noah,biblical animal
Draupadī,legendary figure
Draupadeyas,character in the Mahabharata
Draupati Amman,character in the Mahabharata
Dretapara,character in the Mahabharata
Droṇa,legendary figure
Drummer of El Bruc,legendary figure
Drupada,character in the Mahabharata
Duḥśāsana,character in the Mahabharata
Duṣyanta,character in the Mahabharata
Duhsala,character in the Mahabharata
Duke Stepanovich,bogatyr
Dumah,angel in Judaism
Dumah,human biblical figure
Dunay Ivanovich,bogatyr
Durbalaki,character in the Mahabharata
Durdharsa,character in the Mahabharata
Durmada,character in the Mahabharata
Duskarna,character in the Mahabharata
Dyesebel,merfolk in a work of fiction
Dyggvi,mythological king
Eadgils,mythological king
